lat	lon	hit
41.9886195	-124.2089465	0.0
44.01112	-72.6100882	0.0
43.193852	-71.572395	0.0
17.798315	-96.985708	1.0
35.005428	25.762203	0.0
40.5999966	-73.9237843	0.0
37.8361673	-121.9485479	0.0
-37.839368	144.966902	0.0
41.3385517	-122.3337467	0.0
40.4798467	-74.4389033	1.0
40.585708	-79.8814131	0.0
37.5277883	-122.3148333	0.0
39.617286	-84.09649	1.0
34.130475	-118.2392367	0.0
36.102593	-115.025028	0.0
23.650509	-109.923429	0.0
35.1141493	-81.0098054	1.0
-33.848272	151.06935	1.0
32.582207	-85.515958	0.0
36.988175	-122.0425028	0.0
32.54017	-97.4653209	0.0
-44.1529597	169.0226841	1.0
37.0974138	-122.274148	0.0
38.773196	-75.093252	0.0
37.477915	-122.29169	0.0
42.747842	-83.189367	0.0
34.9654207	-85.3739351	0.0
30.475556	-94.341389	0.0
3.1436667	101.6851667	0.0
34.16224	-118.085	1.0
-39.697512	176.9031	0.0
43.8225144	11.162796	1.0
27.6687766	-97.3295394	1.0
43.069191	-87.894063	1.0
46.1128163	8.6852467	0.0
38.1265195	-122.60807	1.0
49.0846602	-123.1677246	1.0
26.1283176	-97.9580712	0.0
46.232355	-123.399811	0.0
32.8716383	-96.6460283	0.0
39.2272322	-76.7467881	0.0
33.8199769	-111.7640256	0.0
42.1860815	-84.1110518	0.0
37.584609	-89.435749	0.0
44.904612	-85.911143	0.0
38.308815	-123.016883	0.0
33.1824298	-87.4420768	1.0
32.587385	-97.101576	0.0
35.397979	-101.378122	0.0
32.555849	-97.544582	0.0
-35.648746	173.502215	0.0
42.802637	-118.866817	1.0
30.0569113	-84.2939758	1.0
42.149321	-87.785074	1.0
32.8209083	-111.25968	1.0
44.453614	-73.226312	0.0
32.786041	-97.416101	1.0
47.764195	-107.751675	0.0
37.2400801	-80.4636392	0.0
45.556732	-78.561215	0.0
39.779498	-104.9830471	1.0
33.8692401	-116.7739016	0.0
-41.292963	174.7333002	0.0
-37.802233	175.328649	0.0
50.358918	7.294235	1.0
37.715729	-122.377712	0.0
38.108303	-122.948846	0.0
33.7046043	-86.7016354	0.0
37.584454	-89.440028	0.0
		1.0
60.1837283	-149.638275	0.0
26.393107	-81.867405	0.0
49.608307	-117.123528	0.0
41.032	-81.8563333	1.0
28.128747	-81.42866	0.0
43.299795	-72.4035417	0.0
32.7502283	-97.2710633	0.0
44.421609	-80.091372	0.0
32.670863	-97.4341345	0.0
37.828878	-122.249287	0.0
38.1954558	-122.9629642	1.0
46.31748	-78.702193	1.0
36.8392695	-121.6317882	1.0
29.173372	-103.157566	1.0
41.778737	-72.664345	1.0
-41.326271	174.758518	0.0
26.5086631	-78.537534	0.0
40.096812	-83.110274	0.0
48.5456417	-123.0128167	0.0
37.8298457	-122.2994003	0.0
29.65849	-84.880244	0.0
30.138044	-91.937512	0.0
30.2551354	-97.759491	0.0
32.0189289	-111.4634829	1.0
34.16224	-118.085	0.0
26.1283176	-97.9580712	0.0
		0.0
48.9396867	-123.5030967	0.0
14.625187	-92.243931	0.0
