lat	lon	hit
48.1593	-69.66319	1.0
46.47681	-111.25432	1.0
31.46615	-110.73644	1.0
47.07809	-70.78555	1.0
43.17569	-87.89042	0.0
38.93593	-74.94345	0.0
42.58292	-80.3984	0.0
51.89386	-121.53176	0.0
46.84697	-92.03152	0.0
		1.0
		1.0
		0.0
		0.0
		0.0
		1.0
		0.0
		1.0
32.63294	-108.86112	0.0
32.61607	-108.40683	0.0
19.55149	-96.37576	0.0
32.01793	-110.6429	1.0
40.46757	-76.6237	0.0
42.08243	-83.90903	0.0
41.901	-77.14548	0.0
33.01032	-117.25452	0.0
48.88598	-119.22747	1.0
44.07379	-73.32896	1.0
43.59018	-119.62273	1.0
28.66032	-81.07494	0.0
28.56495	-81.01318	0.0
26.11375	-81.76214	0.0
37.67336	-89.43764	0.0
41.2529	-73.33983	1.0
46.47836	-70.61934	1.0
8.76108	-80.12449	1.0
30.29105	-97.62775	0.0
24.74211	-80.98559	1.0
34.68689	-102.0856	1.0
50.45588	-111.87202	0.0
38.01943	-120.783	0.0
49.28617	-111.10062	0.0
49.26132	-110.67878	0.0
34.766	-111.894	1.0
10.44156	-85.79014	0.0
18.70704	-95.72416	0.0
42.7639	-70.8023	0.0
41.945	-70.879	0.0
39.03215	-108.05852	0.0
36.46815	-87.73274	0.0
27.47832	-82.35124	0.0
26.8761	-80.3908	1.0
16.76265	-89.11763	0.0
27.27177	-82.49746	0.0
5.24002	-76.10247	0.0
37.26476	-122.40486	0.0
17.97536	-94.50847	1.0
9.24292	-78.95038	1.0
-38.17256	-59.05724	1.0
26.43306	-80.94168	1.0
36.6121	-78.2932	0.0
43.15431	-84.45602	0.0
37.4085	-77.25612	0.0
47.76358	-122.38516	0.0
29.91019	-90.00755	1.0
32.02707	-80.85307	1.0
8.99394	-79.53299	1.0
24.74211	-80.98559	1.0
29.76033	-95.70944	1.0
25.95434	-97.31964	0.0
26.18574	-97.66417	1.0
-34.6082	-58.35397	0.0
26.08338	-98.13877	1.0
-27.49797	-56.60128	0.0
-16.37861	-56.62083	0.0
34.02212	-118.46874	0.0
37.97647	-121.28637	0.0
32.77512	-117.189	1.0
34.50106	-112.46194	0.0
49.1	-123.185	0.0
43.2511	-86.03752	0.0
43.2511	-86.03752	0.0
36.07335	-88.962	0.0
46.41882	-111.61784	1.0
45.37977	-80.26826	0.0
30.02149	-95.90796	1.0
39.46639	-88.14688	0.0
49.27014	-123.26062	1.0
49.41773	-123.64203	1.0
47.93338	-122.61591	1.0
38.39455	-123.09511	1.0
47.81132	-122.38911	1.0
48.55298	-122.84225	1.0
46.63226	-53.58789	0.0
47.41171	-61.89017	0.0
48.22056	-69.05987	0.0
48.22056	-69.05987	0.0
47.57039	-61.46868	0.0
36.96666	-122.12445	1.0
47.66187	-122.43553	1.0
47.48625	-70.0249	1.0
48.32964	-123.38499	0.0
29.5913	-94.51831	1.0
49.91253	-97.28844	0.0
33.802	-106.88	0.0
41.42489	-80.76187	1.0
35.1346	-106.69479	1.0
42.01461	-83.20015	1.0
39.65033	-119.83475	1.0
40.31411	-76.88515	1.0
33.36145	-111.73395	1.0
29.75065	-95.07709	0.0
41.16202	-73.15511	0.0
33.44674	-104.4049	0.0
33.7976	-117.0198	1.0
10.88489	-84.7887	1.0
46.57671	-87.40096	0.0
31.27833	-81.29497	0.0
51.73444	-106.46528	1.0
26.29406	-81.48618	1.0
29.54262	-95.3106	0.0
28.6622	-81.57138	1.0
26.0813	-98.13514	1.0
50.99798	-113.65974	0.0
47.52135	-52.83139	0.0
47.58013	-52.69413	0.0
48.90154	-122.77357	0.0
45.37112	-75.79155	0.0
43.50692	-80.23056	1.0
40.77155	-73.97248	1.0
44.62043	-73.22468	1.0
45.21833	-74.1575	1.0
47.60627	-52.70187	1.0
45.58709	-72.01343	0.0
38.54837	-121.62663	0.0
47.69485	-122.27217	1.0
37.68959	-89.04398	0.0
43.45844	-116.14265	0.0
48.46456	-123.3738	1.0
41.26199	-72.55482	0.0
29.13541	-83.03404	1.0
42.98175	-76.73533	1.0
39.56752	-105.05667	1.0
49.29974	-119.53327	0.0
42.57954	-76.22538	1.0
47.99083	-66.73294	1.0
33.47693	-84.3369	1.0
37.84881	-87.74012	1.0
44.59389	-63.44972	1.0
41.23629	-105.85391	1.0
50.7068	-119.283	1.0
45.90793	-122.78732	1.0
40.91855	-73.35207	1.0
49.60494	-107.74375	1.0
35.13	-106.683	0.0
39.88761	-75.16591	1.0
36.93315	-76.09474	1.0
41.27007	-70.19852	0.0
33.23867	-111.79129	1.0
32.38646	-97.69458	1.0
39.7824	-105.02991	1.0
42.7639	-70.8023	1.0
41.8532	-74.51546	1.0
41.38698	-76.98907	1.0
49.24985	-65.32265	0.0
48.51888	-68.47332	1.0
47.287	-122.4893	1.0
50.24469	-119.34437	1.0
28.54412	-81.37316	1.0
-4.31183	-73.23152	0.0
27.98019	-82.5532	1.0
30.12308	-81.72747	0.0
47.07973	-64.89517	1.0
38.93383	-74.95509	1.0
41.47992	-71.24319	1.0
57.17012	-170.29675	1.0
48.38588	-124.72663	1.0
40.02556	-105.19406	1.0
45.57412	-73.847	1.0
48.26809	-69.53368	1.0
26.48278	-82.18385	1.0
42.89271	-78.92233	1.0
41.61965	-87.25947	1.0
41.15922	-72.23746	1.0
44.60767	-124.13023	0.0
43.88275	-124.15346	0.0
41.26199	-72.55482	0.0
40.82497	-124.17155	1.0
39.84837	-74.08802	1.0
33.70265	-118.05074	1.0
42.77436	-85.45689	1.0
48.45259	-123.27387	0.0
39.45071	-76.55231	1.0
38.61761	-97.98779	1.0
48.51888	-68.47332	1.0
48.41033	-123.30698	1.0
28.13255	-96.98505	1.0
41.63498	-70.22402	1.0
34.829	-111.8964	1.0
39.73815	-89.58025	1.0
33.12326	-117.17832	1.0
48.46456	-123.3738	1.0
